,0
0,!
1,?
2,AuthorityBiasเป็น
3,BackfireEffect
4,BeliefBiasการ
5,Blackholeเป็น
6,Clasper
7,ConfirmationBias
8,Conformalcycliccosmologyทฤษฎี
9,Gonopodiumกิ้งก่า
10,IQ
11,MRI
12,Microlensingมีมวล
13,NAcc
14,NAccNucleusAccumbens
15,NAccนี้
16,NAccมีการ
17,NAccไม่
18,Nocloningtheoremซึ่ง
19,Reactanceหาก
20,StatusQuoBias
21,Stereotyping
22,SunkCostFallacyเป็นการ
23,Terminalvelocity
24,ThirdPersonEffect
25,TimeCrystals
26,ZeroRiskBiasเวลา
27,bod
28,cyclicmodelซึ่ง
29,frictionที่
30,logicalfallacyกับcognitivebiasทั้ง
31,monogamy
32,oxytocin
33,oxyuravittataแห่งทวีปอเมริกาใต้
34,timecrystals
35,vasopressinที่
36,visceralfat
37,yfat
38,กดดัน
39,กรณี
40,กระจิ๋ว
41,กระจู๋
42,กระจู๋ลึงค์
43,กระจู๋เรียบเรียง
44,กระดูก
45,กระตุ้น
46,กระบวน
47,กระบวนการ
48,กระบอก
49,กระสุน
50,กระหายLust
51,กระเด็น
52,กระเบน
53,กระเบียดนิ้ว
54,กระแส
55,กลยุทธ
56,กลับ
57,กลับคืน
58,กลัว
59,กลาย
60,กลุ่ม
61,กลไก
62,กล่าว
63,กล้อง
64,กว่า
65,กว้าง
66,กะ
67,กัน
68,กันแถม
69,กันและกัน
70,กับ
71,กา
72,กาย
73,กายbioelectricalimpedanceanalysis
74,กายภาพ
75,การ
76,กำลัง
77,กำลังพลอดรัก
78,กำเนิด
79,กิจกรรม
80,กิน
81,กี่
82,กุญแจ
83,กุมภาพันธ์คศ
84,กู้
85,ก็
86,ก็ตาม
87,ก่อ
88,ก่อน
89,ก่อนหน้า
90,ก้น
91,ก้อน
92,ก๊อป
93,ขณะ
94,ขน
95,ขนส่งอสุจิ
96,ขนาด
97,ขยะ
98,ขยาย
99,ขวา
100,ของ
101,ขอบ
102,ขัดแย้ง
103,ขัดใจ
104,ขับถ่ายOnestopservice
105,ขับเคลื่อน
106,ขั้น
107,ขั้ว
108,ขาด
109,ขาย
110,ขีด
111,ขีปณาวุธ
112,ขึ้น
113,ขโมยข
114,ข้อ
115,ข้อมูล
116,ข้าง
117,คง
118,คงที่
119,คณิตศาสตร์
120,คน
121,ครบถ้วน
122,ครอง
123,ครอบครัว
124,ครั้ง
125,ครีบ
126,คลอเคลีย
127,คลอเคลียเลีย
128,คลื่น
129,คล้าย
130,ควบคุม
131,ควร
132,ควอนตัม
133,ควอนตัมopticalquantumsystemด้วย
134,ควอร์ตฯล
135,ความ
136,ความหมาย
137,คศ
138,คอมพิวเตอร์
139,คะแนน
140,คัดสรร
141,คั่ง
142,คำ
143,คำนวณ
144,คำนึง
145,คิด
146,คิดค้น
147,คืน
148,คือ
149,คือmPFCMedialPrefrontalCortex
150,คุณภาพ
151,คุณสมบัติ
152,คุ้มกว่าFramingEffect
153,คู่
154,คู่ครอง
155,ค่อย
156,ค่า
157,ค้น
158,ค้นพบ
159,งวด
160,งาน
161,งูมี
162,ง่าย
163,จน
164,จนถึง
165,จริง
166,จะ
167,จักรวาล
168,จัด
169,จันทร์
170,จับ
171,จับต้อง
172,จาก
173,จากmPFCNAccที่
174,จำ
175,จำกัด
176,จำนวน
177,จำลอง
178,จำเป็น
179,จำแนก
180,จิตใจ
181,จิ๋ว
182,จึง
183,จุด
184,จุดร้อน
185,จู่
186,จ่าย
187,จ้าง
188,ฉลาด
189,ฉลาม
190,ฉาก
191,ฉีด
192,ชน
193,ชนิด
194,ชวน
195,ชอบ
196,ชอบพอ
197,ชัด
198,ชัดเจน
199,ชั่ง
200,ชั่วโมง
201,ชั้น
202,ชั้นexobaseถ้า
203,ชาย
204,ชิ้น
205,ชีวภาพ
206,ชีวิต
207,ช่วง
208,ช่วย
209,ช่อง
210,ช่องโคลเอกาCloacaซึ่ง
211,ช้า
212,ช้างเผือก
213,ซับซ้อน
214,ซึ่ง
215,ซื้อ
216,ซูเปอร์โนวา
217,ซ่อม
218,ซ้าย
219,ซ้ำ
220,ญาติ
221,ดดย
222,ดวง
223,ดอก
224,ดัง
225,ดัน
226,ดับ
227,ดั้ง
228,ดาว
229,ดาวอังคาร
230,ดำ
231,ดำรงเผ่าพันธุ์
232,ดิ่ง
233,ดี
234,ดึงดูด
235,ดื่ม
236,ดู
237,ดูดกลืน
238,ด้วย
239,ด้าน
240,ตก
241,ตกตะลึง
242,ตกลง
243,ตรง
244,ตรงข้าม
245,ตรรกะ
246,ตรวจ
247,ตลอด
248,ตอน
249,ตอบ
250,ตอบสนอง
251,ตอบโต้
252,ตะขอ
253,ตัด
254,ตัดสิน
255,ตัดสินใจ
256,ตัว
257,ตั้ง
258,ตั้งแต่
259,ตาม
260,ตาย
261,ตีความ
262,ตีบ
263,ตื่นเต้น
264,ตูดGamblersFallacyเป็น
265,ต่อ
266,ต่อเนื่อง
267,ต่าง
268,ต่างหาก
269,ต่างๆ
270,ต่ำ
271,ต้น
272,ต้อง
273,ต้องการ
274,ต้าน
275,ถนัด
276,ถลำ
277,ถัด
278,ถาม
279,ถึง
280,ถือกำเนิด
281,ถูก
282,ถูกต้อง
283,ถ่วง
284,ถ่าย
285,ถ้า
286,ทดลอง
287,ทดสอบ
288,ทดสอบDigitalSymbolSubstitutionTestDSST
289,ทดสอบMontrealCognitiveAssessmentMoCAซึ่ง
290,ทราบ
291,ทรายเพชร
292,ทฤษฎี
293,ทฤษฎีconformalcycliccosmologyCCC
294,ทวิต
295,ทวี
296,ทว่า
297,ทะเลสาบ
298,ทันที
299,ทัศนศาสตร์
300,ทั่ว
301,ทั่วไป
302,ทั่วๆ
303,ทั้ง
304,ทั้งที่
305,ทั้งหมด
306,ทั้งหลาย
307,ทั้งๆที่
308,ทาง
309,ทำ
310,ทิศ
311,ทิ้ง
312,ที
313,ทีม
314,ที่
315,ที่สุด
316,ทึ่ง
317,ทุก
318,ทุกสิ่งทุกอย่าง
319,ทุน
320,ท่อ
321,ท้อง
322,ท้องที่
323,ท้าทาย
324,ท้าย
325,ธรรมชาติ
326,ธรรมดา
327,นก
328,นม
329,นอก
330,นอน
331,นะ
332,นัก
333,นักดาราศาสตร์
334,นักฟิสิกส์
335,นักวิทย์
336,นับ
337,นั่น
338,นั้น
339,นาน
340,นานา
341,นาม
342,นายการ
343,นำ
344,นิยาม
345,นิ้ว
346,นี่
347,นี้
348,นึก
349,นู่น
350,น่า
351,น่าEchidnaซึ่ง
352,น้อย
353,น้ำ
354,น้ำตาล
355,น้ำหนัก
356,บก
357,บกพร่อง
358,บน
359,บรรดา
360,บรรยากาศ
361,บริบท
362,บริเวณ
363,บอก
364,บอกเล่า
365,บังเอิญ
366,บาง
367,บิดเบี้ยว
368,บิ๊ก
369,บิ๊กแบง
370,บ่อ
371,บ้าง
372,บ้าน
373,ปกติ
374,ปฏิบัติ
375,ปฏิสนธิ
376,ปรมัตถ์
377,ประกอบ
378,ประกอบเรียง
379,ประกัน
380,ประจำ
381,ประมวล
382,ประมาณ
383,ประยุกต์
384,ประสบ
385,ประสาท
386,ประสาทจิตวิทยา
387,ประหลาด
388,ประหลาดใจ
389,ประเทศ
390,ประเมิน
391,ประโยชน์
392,ปรากฏการณ์
393,ปริมาณ
394,ปริศนา
395,ปลา
396,ปลิ้น
397,ปล่อย
398,ปัจจัย
399,ปัจจุบัน
400,ปัญหา
401,ปี
402,ปี้
403,ปืน
404,ป้องกัน
405,ป้า
406,ผกผัน
407,ผล
408,ผลัก
409,ผลิต
410,ผลึก
411,ผสม
412,ผัวเดียวเมีย
413,ผิด
414,ผิดพลาด
415,ผูก
416,ผู้
417,ผ่าน
418,ฝัง
419,ฝ่าย
420,พนักงาน
421,พบ
422,พยายาม
423,พรรณนา
424,พร้อม
425,พฤติกรรม
426,พลังงาน
427,พวก
428,พอ
429,พอดี
430,พะเน้าพะนอ
431,พัก
432,พัฒนา
433,พันAttachmentกล่าว
434,พันธุ์
435,พา
436,พากิน
437,พิจารณา
438,พินิจพิเคราะห์
439,พิศวง
440,พิสดาร
441,พิสูจน์
442,พิเศษ
443,พึ่งพา
444,พืช
445,พื้น
446,พื้นฐาน
447,พื้นที่
448,พุ่ง
449,พูด
450,พ้นescapespeed
451,ฟองน้ำ
452,ฟันแทะ
453,ฟิน
454,ฟิสิกส์
455,ฟ้า
456,ภาค
457,ภาพ
458,ภาย
459,ภาวะ
460,ภาษา
461,ภูเขา
462,มดหนาม
463,มนุษย์
464,มวล
465,มวลดวง
466,มวลสาร
467,มหัศจรรย์
468,มหาวิทยาลัยเอมอรี
469,มหาเศรษฐี
470,มหึมา
471,มอง
472,มัก
473,มัน
474,มา
475,มาก
476,มากมาย
477,มากมายวิธี
478,มากยาว
479,มาตรฐาน
480,มานุษยวิทยา
481,มาเดอี
482,มิตร
483,มี
484,มือถือ
485,ม้า
486,ยกเว้น
487,ยอด
488,ยอม
489,ยัง
490,ยับยั้ง
491,ยา
492,ยาก
493,ยาว
494,ยิง
495,ยินยอม
496,ยิ่ง
497,ยิ่งยวด
498,ยิ่งยศลาภวงศ์
499,ยิ่งใหญ่
500,ยีน
501,ยึด
502,ยืนยัน
503,ยืนยาว
504,ยุค
505,ย้อน
506,รถ
507,รวดเร็ว
508,รวม
509,รอบ
510,ระดับ
511,ระบบ
512,ระบุ
513,ระยะ
514,ระยะอนันต์
515,ระหว่าง
516,ระเบิด
517,รัก
518,รักษา
519,รักใคร่
520,รังสี
521,รับ
522,รั่ว
523,รั่วไหล
524,รางวัล
525,ราบเรียบ
526,รายงาน
527,ราว
528,รำพึงรำพัน
529,ริมฝีปาก
530,รีโวล
531,รีโวลMicrotusochrogasterสัตว์
532,รุ่น
533,รุ่นท็อปๆ
534,รู
535,รูป
536,รูปร่าง
537,รูปแบบ
538,รู้
539,รู้สึก
540,ร่วม
541,ร่าง
542,ร่างกาย
543,ร้อน
544,ฤกษ์
545,ลง
546,ลงพุง
547,ลด
548,ลอง
549,ลอยเท้งเต้ง
550,ละออง
551,ลักษณะ
552,ลำ
553,ลำเลเซอร์
554,ลำเอียง
555,ลิ้นพัน
556,ลึก
557,ลืม
558,ลูก
559,ล่อ
560,ล่ะ
561,ล่าสุด
562,ล้วน
563,ล้าง
564,ล้าน
565,วงจร
566,วลี
567,วัฏจักร
568,วัด
569,วัดไขมัน
570,วัตถุ
571,วัน
572,วัย
573,วัว
574,วาน
575,วารสาร
576,วาโซเพรสซิน
577,วิจัย
578,วิจารณญาณ
579,วิทยาศาสตร์
580,วิทยุ
581,วิธี
582,วิบัติ
583,วิวัฒนาการ
584,วิเคราะห์
585,ว่า
586,ว่าmPFC
587,ว่าง
588,ว่าย
589,ศิลปะ
590,ศึกษา
591,ศุภกิจพัฒนพิฑูรย์ความ
592,ศูนย์
593,สงสัย
594,สด
595,สตีเฟนฮอว์กิ้ง
596,สถานการณ์
597,สถานะ
598,สถิติ
599,สถิติมัน
600,สนใจ
601,สภาพ
602,สม
603,สมชาย
604,สมบูรณ์
605,สมบูรณ์แบบ
606,สมมุติ
607,สมอง
608,สมัย
609,สม่ำเสมอ
610,สยอง
611,สรรพสิ่ง
612,สรุป
613,สร้าง
614,สลับ
615,สสาร
616,สหรัฐอเมริกา
617,สอง
618,สอด
619,สอดคล้อง
620,สอน
621,สัก
622,สักกมถึง
623,สังคม
624,สังเกต
625,สัญญาณ
626,สัตว์
627,สัน
628,สันสกฤต
629,สัมบูรณ์
630,สัมผัส
631,สัมพัทธภาพ
632,สัมพันธ์
633,สัมโมทิกสวิชญาน
634,สัมโมทิกสวิชญานอนันต์
635,สั่งการ
636,สั้น
637,สามารถ
638,สาย
639,สาร
640,สารสื่อ
641,สารโดพามินdopamineจะ
642,สาว
643,สำคัญ
644,สำหรับ
645,สำเร็จ
646,สิ
647,สินค้า
648,สิบ
649,สิว
650,สิ่ง
651,สิ้น
652,สิ้นสุด
653,สี
654,สืบ
655,สื่อ
656,สื่อสาร
657,สุด
658,สุดendless
659,สุดท้าย
660,สูง
661,สูญเสีย
662,สู่
663,สแกนสมอง
664,ส่ง
665,ส่วน
666,ส่วนmPFC
667,ส่วนmPFCของหนูแพรรีโวล
668,ส่วนmPFCวัน
669,หด
670,หนัก
671,หนักแน่น
672,หนังสือ
673,หนาม
674,หนาแน่น
675,หนึ่ง
676,หนุ่ม
677,หนู
678,หนูแพร
679,หนูแพรรีโวล
680,หน่อย
681,หน้า
682,หน้าที่
683,หมด
684,หมดเอกภพ
685,หมาย
686,หยุด
687,หรือ
688,หลง
689,หลวง
690,หลอก
691,หลัก
692,หลักการ
693,หลักฐาน
694,หลัง
695,หลับ
696,หลั่ง
697,หลากหลาย
698,หลาย
699,หลุด
700,หลุม
701,หวย
702,หวัง
703,หัน
704,หัว
705,หัวใจ
706,หา
707,หาก
708,หาง
709,หาย
710,หิน
711,หื่น
712,ห้อง
713,อคติ
714,องคชาติ
715,องค์
716,อดีต
717,อธิบาย
718,อนันต์
719,อนันต์infiniteและinfinityถ้า
720,อนาคต
721,อนามัย
722,อนุภาค
723,อยาก
724,อยู่
725,อยู่ดี
726,อยู่แล้ว
727,อย่าง
728,อร่อย
729,อลิซาเบธเออ
730,อวอาศฮับเบิล
731,อวัยวะ
732,อสุจิ
733,ออก
734,ออกซี
735,ออนไลน์
736,ออปโต
737,อะตอม
738,อะไร
739,อักเสบ
740,อังกฤษ
741,อัตรา
742,อัตราส่วน
743,อัน
744,อัลเบิร์ตไอน์สไตน์
745,อัลไซเมอร์
746,อา
747,อาการ
748,อากาศ
749,อากาศairresistanceตัว
750,อาจ
751,อาณาจักรสัตว์
752,อาทิตย์
753,อายุ
754,อาหาร
755,อิง
756,อิสรภาพ
757,อิเล็กทรอนิกส์
758,อีก
759,อีคิด
760,อีลอนมัสก์
761,อื่น
762,อุกกาบาต
763,อุณหภูมิ
764,อุดมการณ์
765,อุปกรณ์
766,อเมริกัน
767,อ่อน
768,อ่าน
769,อ้วน
770,อ้าว
771,ฮอร์โมน
772,ฮอว์กิ้ง
773,ฮอว์กิ้งHawkingradiationออก
774,ฯ
775,ฯล
776,เกทับ
777,เกลือ
778,เกสร
779,เกาะ
780,เกิด
781,เกิน
782,เกี่ยว
783,เกี่ยวข้อง
784,เก็บ
785,เก่ง
786,เก่า
787,เก่าแก่
788,เขา
789,เขียน
790,เข้า
791,เข้าใจ
792,เคมี
793,เคย
794,เครียด
795,เครือข่าย
796,เครื่อง
797,เคลื่อน
798,เค้า
799,เจอ
800,เจเนติกส์Optogenetics
801,เจ้าของ
802,เฉพาะ
803,เชิง
804,เชี่ยวชาญ
805,เชื่อ
806,เชื่อถือ
807,เชื่อม
808,เช็ก
809,เช่น
810,เซลล์
811,เซอร์โรเจอร์เพนโรสSirRogerPenroseนักฟิสิกส์
812,เซ็กซ์
813,เซ็ต
814,เดิน
815,เดินทาง
816,เดิม
817,เดิมอนนฺตหมาย
818,เดียว
819,เดียวใจ
820,เดือน
821,เด็ก
822,เตรียม
823,เต็ม
824,เต้น
825,เต้าหู้
826,เถอะ
827,เทคนิค
828,เทคโนโลยี
829,เทียบ
830,เทียบเคียง
831,เท่า
832,เท่าทัน
833,เธอ
834,เนี่ย
835,เนื่อง
836,เนื้อ
837,เนื้อเยื่อ
838,เบา
839,เบี้ยประกัน
840,เปลี่ยน
841,เปลี่ยนแปลง
842,เปล่ง
843,เปล่า
844,เปล่าDeclinism
845,เปอร์เซ็นต์
846,เป็ด
847,เป็น
848,เป็นอนันต์
849,เป็นอยู่
850,เป่า
851,เป้าหมาย
852,เผ่าพันธุ์
853,เฝ้า
854,เพนโรส
855,เพราะ
856,เพศ
857,เพศSexualSelection
858,เพศสัมพันธ์
859,เพิ่ง
860,เพิ่ม
861,เพิ่มเติม
862,เพียง
863,เพียงพอ
864,เพี้ยน
865,เพื่อ
866,เพ้อคิด
867,เมีย
868,เมือง
869,เมืองแอตแลนตา
870,เมื่อ
871,เมื่อล้าน
872,เยอะ
873,เยือน
874,เรณู
875,เรา
876,เริ่ม
877,เริ่มต้น
878,เรียก
879,เรียน
880,เรียบง่าย
881,เรียบเรียง
882,เรื่อง
883,เรื่องราว
884,เรื่อย
885,เร็ว
886,เลข
887,เลนส์
888,เลย
889,เลี้ยง
890,เลี้ยงดู
891,เลือก
892,เลือด
893,เลเซอร์
894,เล็ก
895,เล็ง
896,เล่น
897,เวลา
898,เสถียร
899,เสนอ
900,เสมือน
901,เสริม
902,เสีย
903,เสียดทาน
904,เสียหาย
905,เสียใจ
906,เสี่ยง
907,เสื่อม
908,เส้น
909,เหตุ
910,เหตุการณ์
911,เหตุผล
912,เหมา
913,เหมาะ
914,เหมือน
915,เหรียญ
916,เหลือ
917,เหล่า
918,เหวอ
919,เห็น
920,เอกซ์
921,เอกภพ
922,เอกสาร
923,เอง
924,เอา
925,เอื้อ
926,เฮมิเพนิส
927,เฮมิเพนิสHemipenis
928,เฮเลนฟิชเชอร์
929,แก้ว
930,แก๊ส
931,แขนง
932,แข็ง
933,แข่งขัน
934,แคลสเปอร์
935,แค่
936,แง่
937,แชร์
938,แซกจอห์นสัน
939,แตกต่าง
940,แต่
941,แต่ละ
942,แต้ม
943,แถม
944,แทน
945,แท้จริง
946,แนว
947,แนวทาง
948,แนะนำ
949,แน่
950,แน่นอน
951,แบงBigBang
952,แบบ
953,แบรนด์
954,แบ่ง
955,แปร
956,แปรเปลี่ยน
957,แปล
958,แปลก
959,แปลกหน้า
960,แป๊บ
961,แผ่
962,แพร
963,แพ้
964,แฟน
965,แมกนีเซียมฟลูออไรด์
966,แมลง
967,แมว
968,แม่นยำ
969,แม้
970,แยก
971,แย่
972,แย้ง
973,แรก
974,แรง
975,แร่
976,และ
977,แล็กซี
978,แล้ว
979,แล้วแต่
980,แวดล้อม
981,แสง
982,แสงเลเซอร์
983,แสดง
984,แสน
985,แหละ
986,แห่ง
987,แห้ง
988,แห้งผาก
989,โกโนโพเดียม
990,โคน
991,โครงสร้าง
992,โจร
993,โฉบ
994,โซลิ
995,โดดเดี่ยว
996,โดน
997,โดย
998,โทซิน
999,โทรทรรศน์
1000,โทรทัศน์
1001,โทรศัพท์
1002,โนเบล
1003,โน้ม
1004,โบราณ
1005,โฟกัส
1006,โรค
1007,โรง
1008,โรแมนติก
1009,โลก
1010,โอกาส
1011,ใกล้
1012,ใกล้ชิด
1013,ใคร
1014,ใจ
1015,ใจกลาง
1016,ใช่
1017,ใช้
1018,ใด
1019,ใต้
1020,ใน
1021,ใส่
1022,ใหญ่
1023,ใหม่
1024,ใหลAttractionสารอะดรีนาลินadrenalineจะ
1025,ให้
1026,ไกล
1027,ไขมัน
1028,ไข่
1029,ไง
1030,ไฉน
1031,ได้
1032,ไป
1033,ไปGeneralrelativityถูก
1034,ไปOutgroupHomogeneityBias
1035,ไฟฟ้า
1036,ไมโครMicrolensingซึ่ง
1037,ไมโครเวฟ
1038,ไม่
1039,ไม่?
1040,ไม้
1041,ไร
1042,ไร้
1043,ไว
1044,ไว้
1045,ไหน
1046,ไหนAvailabilityCascade
1047,ไหม
1048,ไหลวน
1049,ไอน์สไตน์
1050,ไอเดีย
1051,ๆ
1052,–
